weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
419,"{'top_left': 28, 'top_right': 38, 'bottom_left': 163, 'bottom_right': 190}","{'top_left': 0.05128205128205128, 'top_right': 0.0695970695970696, 'bottom_left': 0.29853479853479853, 'bottom_right': 0.34798534798534797}","(21.0, 35.61336515513126)","(0.5, 0.6848724068294474)","(88.38034643229419, 72.50119331742243)","(0.03146327747678682, 0.03921102937664815)"
598,"{'top_left': 94, 'top_right': 103, 'bottom_left': 223, 'bottom_right': 178}","{'top_left': 0.12912087912087913, 'top_right': 0.14148351648351648, 'bottom_left': 0.30631868131868134, 'bottom_right': 0.2445054945054945}","(26.264214046822744, 32.76254180602007)","(0.47753116448768623, 0.6300488808850013)","(143.32154002751645, 246.8164785628796)","(0.05102226416073921, 0.07870423423561212)"
418,"{'top_left': 77, 'top_right': 72, 'bottom_left': 156, 'bottom_right': 113}","{'top_left': 0.14807692307692308, 'top_right': 0.13846153846153847, 'bottom_left': 0.3, 'bottom_right': 0.2173076923076923}","(19.497607655502392, 31.04306220095694)","(0.4874401913875598, 0.5969819654030181)","(106.93594468991094, 120.36482681257297)","(0.03806904403343216, 0.07160310934715822)"
399,"{'top_left': 67, 'top_right': 9, 'bottom_left': 175, 'bottom_right': 148}","{'top_left': 0.13562753036437247, 'top_right': 0.018218623481781375, 'bottom_left': 0.354251012145749, 'bottom_right': 0.29959514170040485}","(18.24310776942356, 37.090225563909776)","(0.49305696674117727, 0.7132735685367264)","(114.35777413458459, 75.49728958988952)","(0.040711204747093124, 0.052283441544244816)"
421,"{'top_left': 32, 'top_right': 53, 'bottom_left': 154, 'bottom_right': 182}","{'top_left': 0.06153846153846154, 'top_right': 0.10192307692307692, 'bottom_left': 0.29615384615384616, 'bottom_right': 0.35}","(20.783847980997624, 36.729216152019)","(0.5195961995249406, 0.7063310798465192)","(110.25921767536856, 124.24068923104699)","(0.039252124483933275, 0.07390879787688696)"
323,"{'top_left': 54, 'top_right': 46, 'bottom_left': 55, 'bottom_right': 168}","{'top_left': 0.12980769230769232, 'top_right': 0.11057692307692307, 'bottom_left': 0.13221153846153846, 'bottom_right': 0.40384615384615385}","(18.76780185758514, 32.76160990712074)","(0.6054129631479078, 0.6300309597523219)","(121.58713301191422, 68.53741529200893)","(0.04328484621285661, 0.06693106962110247)"
575,"{'top_left': 71, 'top_right': 68, 'bottom_left': 216, 'bottom_right': 220}","{'top_left': 0.11378205128205128, 'top_right': 0.10897435897435898, 'bottom_left': 0.34615384615384615, 'bottom_right': 0.3525641025641026}","(24.015652173913043, 34.41913043478261)","(0.5003260869565217, 0.6619063545150502)","(117.5582427221172, 165.38236370510396)","(0.04185056700680569, 0.06888061795297958)"
416,"{'top_left': 48, 'top_right': 29, 'bottom_left': 165, 'bottom_right': 174}","{'top_left': 0.1085972850678733, 'top_right': 0.06561085972850679, 'bottom_left': 0.3733031674208145, 'bottom_right': 0.3936651583710407}","(16.177884615384617, 36.12740384615385)","(0.4902389277389278, 0.6947577662721893)","(94.90444133690828, 46.74720321745562)","(0.033785845972555455, 0.040438757108525625)"
509,"{'top_left': 75, 'top_right': 1, 'bottom_left': 223, 'bottom_right': 210}","{'top_left': 0.13736263736263737, 'top_right': 0.0018315018315018315, 'bottom_left': 0.4084249084249084, 'bottom_right': 0.38461538461538464}","(19.408644400785853, 36.290766208251476)","(0.46211058097109176, 0.6978993501586822)","(80.07655520860271, 146.66601564761598)","(0.028507139625704062, 0.07932180402791562)"
496,"{'top_left': 111, 'top_right': 112, 'bottom_left': 123, 'bottom_right': 150}","{'top_left': 0.2032967032967033, 'top_right': 0.20512820512820512, 'bottom_left': 0.22527472527472528, 'bottom_right': 0.27472527472527475}","(21.0, 28.447580645161292)","(0.5, 0.5470688585607941)","(101.63031672736733, 103.47177419354838)","(0.03618024803395063, 0.05596093790889583)"
652,"{'top_left': 109, 'top_right': 115, 'bottom_left': 207, 'bottom_right': 221}","{'top_left': 0.19963369963369965, 'top_right': 0.21062271062271062, 'bottom_left': 0.3791208791208791, 'bottom_right': 0.40476190476190477}","(20.992331288343557, 32.104294478527606)","(0.49981741162722754, 0.6173902784332232)","(129.97378523843577, 103.44626020926643)","(0.04627048246295328, 0.055947139107229)"
486,"{'top_left': 71, 'top_right': 73, 'bottom_left': 165, 'bottom_right': 177}","{'top_left': 0.18205128205128204, 'top_right': 0.18717948717948718, 'bottom_left': 0.4230769230769231, 'bottom_right': 0.45384615384615384}","(15.0, 32.52880658436214)","(0.5, 0.625553972776195)","(114.6648080407797, 66.80246913580247)","(0.04082050838048405, 0.06951349545869144)"
670,"{'top_left': 78, 'top_right': 79, 'bottom_left': 167, 'bottom_right': 346}","{'top_left': 0.10344827586206896, 'top_right': 0.10477453580901856, 'bottom_left': 0.22148541114058357, 'bottom_right': 0.4588859416445623}","(31.688059701492538, 35.12985074626866)","(0.5463458569222851, 0.6755740528128589)","(115.04134773891737, 245.8086633994208)","(0.040954555976830676, 0.07061438190158598)"
269,"{'top_left': 61, 'top_right': 5, 'bottom_left': 95, 'bottom_right': 108}","{'top_left': 0.1804733727810651, 'top_right': 0.014792899408284023, 'bottom_left': 0.28106508875739644, 'bottom_right': 0.31952662721893493}","(13.397769516728625, 34.0)","(0.535910780669145, 0.6538461538461539)","(123.10780669144981, 37.4663147275466)","(0.043826203877340625, 0.055423542496370715)"
437,"{'top_left': 30, 'top_right': 53, 'bottom_left': 163, 'bottom_right': 191}","{'top_left': 0.057692307692307696, 'top_right': 0.10192307692307692, 'bottom_left': 0.31346153846153846, 'bottom_right': 0.36730769230769234}","(20.76430205949657, 36.76887871853547)","(0.5191075514874142, 0.7070938215102974)","(104.98319622556541, 119.78197508496143)","(0.037373868360827844, 0.07125638018141668)"
689,"{'top_left': 120, 'top_right': 128, 'bottom_left': 217, 'bottom_right': 224}","{'top_left': 0.17751479289940827, 'top_right': 0.1893491124260355, 'bottom_left': 0.3210059171597633, 'bottom_right': 0.33136094674556216}","(25.60087082728592, 31.67634252539913)","(0.5019778593585474, 0.6091604331807525)","(123.01425890154427, 194.2311168033434)","(0.04379290099734577, 0.0718310343207631)"
409,"{'top_left': 64, 'top_right': 73, 'bottom_left': 198, 'bottom_right': 74}","{'top_left': 0.12307692307692308, 'top_right': 0.14038461538461539, 'bottom_left': 0.38076923076923075, 'bottom_right': 0.1423076923076923}","(19.403422982885086, 31.503667481662593)","(0.49752366622782274, 0.6058397592627421)","(111.69741931241445, 92.82257997022974)","(0.03976412221873067, 0.058014112481393584)"
422,"{'top_left': 59, 'top_right': 60, 'bottom_left': 139, 'bottom_right': 164}","{'top_left': 0.1620879120879121, 'top_right': 0.16483516483516483, 'bottom_left': 0.38186813186813184, 'bottom_right': 0.45054945054945056}","(13.367298578199053, 34.04976303317535)","(0.49508513252589087, 0.6548031352533722)","(114.85297387749603, 58.445660474832096)","(0.04088749515040798, 0.07454803631993889)"
