weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
407,"{'top_left': 35, 'top_right': 26, 'bottom_left': 185, 'bottom_right': 161}","{'top_left': 0.07, 'top_right': 0.052, 'bottom_left': 0.37, 'bottom_right': 0.322}","(19.257985257985258, 34.67321867321867)","(0.4937944937944938, 0.6934643734643734)","(80.20033927159233, 68.9629276361463)","(0.030834424941019734, 0.04310182977259144)"
551,"{'top_left': 87, 'top_right': 94, 'bottom_left': 212, 'bottom_right': 158}","{'top_left': 0.13384615384615384, 'top_right': 0.14461538461538462, 'bottom_left': 0.3261538461538461, 'bottom_right': 0.24307692307692308}","(23.860254083484573, 31.57894736842105)","(0.45885104006701105, 0.631578947368421)","(130.7591938102971, 218.29081590640345)","(0.05027266198012191, 0.07771121961780116)"
387,"{'top_left': 65, 'top_right': 65, 'bottom_left': 152, 'bottom_right': 105}","{'top_left': 0.13, 'top_right': 0.13, 'bottom_left': 0.304, 'bottom_right': 0.21}","(18.8062015503876, 30.25581395348837)","(0.4822102961637846, 0.6051162790697674)","(95.49269875608438, 114.82807523586322)","(0.03671384035220468, 0.07176754702241452)"
363,"{'top_left': 55, 'top_right': 8, 'bottom_left': 162, 'bottom_right': 138}","{'top_left': 0.12222222222222222, 'top_right': 0.017777777777777778, 'bottom_left': 0.36, 'bottom_right': 0.30666666666666664}","(17.666666666666668, 35.95867768595041)","(0.49074074074074076, 0.7191735537190083)","(100.01206657104478, 73.00459136822772)","(0.03845139045407335, 0.053326947675842014)"
393,"{'top_left': 27, 'top_right': 45, 'bottom_left': 143, 'bottom_right': 178}","{'top_left': 0.054, 'top_right': 0.09, 'bottom_left': 0.286, 'bottom_right': 0.356}","(20.361323155216287, 35.80661577608142)","(0.52208520910811, 0.7161323155216285)","(96.83792060809716, 116.0679188599473)","(0.03723103445140222, 0.07254244928746706)"
295,"{'top_left': 45, 'top_right': 41, 'bottom_left': 45, 'bottom_right': 164}","{'top_left': 0.12, 'top_right': 0.10933333333333334, 'bottom_left': 0.12, 'bottom_right': 0.43733333333333335}","(18.298305084745763, 31.996610169491525)","(0.6099435028248588, 0.6399322033898305)","(108.03049698362541, 61.544912381499564)","(0.04153421644891404, 0.06404257271748133)"
528,"{'top_left': 62, 'top_right': 61, 'bottom_left': 202, 'bottom_right': 203}","{'top_left': 0.10333333333333333, 'top_right': 0.10166666666666667, 'bottom_left': 0.33666666666666667, 'bottom_right': 0.3383333333333333}","(23.414772727272727, 33.24242424242424)","(0.49818665377176014, 0.6648484848484848)","(103.92986685032139, 159.67455449380168)","(0.039957657381899804, 0.06930319205460142)"
379,"{'top_left': 41, 'top_right': 26, 'bottom_left': 151, 'bottom_right': 161}","{'top_left': 0.1025, 'top_right': 0.065, 'bottom_left': 0.3775, 'bottom_right': 0.4025}","(15.672823218997362, 35.10026385224275)","(0.48977572559366755, 0.7020052770448549)","(85.58889175096246, 44.05654374447406)","(0.03290614830871298, 0.040455963034411443)"
460,"{'top_left': 66, 'top_right': 1, 'bottom_left': 195, 'bottom_right': 198}","{'top_left': 0.132, 'top_right': 0.002, 'bottom_left': 0.39, 'bottom_right': 0.396}","(18.756521739130434, 34.94130434782609)","(0.46891304347826085, 0.6988260869565218)","(72.92046786389415, 133.27984877126656)","(0.028035550889617126, 0.07928604923930194)"
448,"{'top_left': 94, 'top_right': 96, 'bottom_left': 116, 'bottom_right': 142}","{'top_left': 0.188, 'top_right': 0.192, 'bottom_left': 0.232, 'bottom_right': 0.284}","(20.0, 27.90625)","(0.5, 0.558125)","(93.25906808035714, 92.89732142857143)","(0.03585508192247487, 0.055263129939661766)"
